"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","accord","1","Abstract",1,10174,1093.7,345.29,23,0.1691,0.997,23,0.7742,31,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92427928606188,1.82607480270083,"Noun",9.65,NA,NA
"2","activation","8","Abstract",4,80913,984.46,331.04,26,0.0325,0.9901,26,0.871,31,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64345267648619,1.53147891704226,"Noun",9.78,NA,NA
"3","amorality","7","Abstract",4,70972,1120.26,513.37,31,0.4499,1.3542,31,1,31,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",15,NA,NA
"4","apparition","10","Abstract",3,100739,1136.93,453.43,27,0.3668,1.2859,27,0.8438,32,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60205999132796,1.47712125471966,"Noun",11.94,NA,NA
"5","assertion","8","Abstract",1,80180,1035.79,268.68,28,0.094,0.8111,28,0.9032,31,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.17609125905568,"Noun",12.24,NA,NA
"6","astrology","8","Abstract",4,80918,1137.77,323.62,13,0.4801,0.6958,13,0.4194,31,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68124123737559,1.5910646070265,"Noun",9.53,NA,NA
"7","benediction","1","Abstract",3,10640,1254.11,451.37,27,0.8031,1.0456,27,0.9032,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,1.11394335230684,"Noun",14.11,NA,NA
"8","bourgeoisie","1","Abstract",2,10500,1393.5,670.53,8,0.9246,1.1769,8,0.2258,31,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,0.954242509439325,"Noun",14.64,NA,NA
"9","candidacy","4","Abstract",4,40964,1097.33,385.58,30,0.5472,1.0339,30,0.9375,32,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.32221929473392,"Noun",12.29,NA,NA
"10","comparison","2","Abstract",4,20907,1086.28,495.95,29,0.2962,1.1501,29,0.9355,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27415784926368,2.25042000230889,"Noun",9.27,NA,NA
"11","condemnation","5","Abstract",4,50944,1090.06,401.52,31,0.3445,1.0223,31,1,32,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.30102999566398,"Noun",13.15,NA,NA
"12","credibility","5","Abstract",1,50232,1169.19,445.35,31,0.4374,0.9496,31,0.9688,32,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2148438480477,2.14612803567824,"Noun",12.37,NA,NA
"13","deception","1","Abstract",4,10981,939.97,321.26,31,-0.0374,0.9797,31,1,31,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20682587603185,2.13353890837022,"Noun",10,NA,NA
"14","dicey","5","Abstract",3,50712,1142.81,422.9,27,0.2928,1.0942,27,0.8438,32,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50514997831991,1.44715803134222,"Noun",12.65,NA,NA
"15","disappointment","10","Abstract",1,100180,1025.88,434.91,26,-0.0924,1.1035,26,0.8125,32,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44404479591808,2.40483371661994,"Noun",8.32,NA,NA
"16","doom","3","Abstract",4,30913,959.68,294.84,25,-0.0131,0.7482,25,0.8065,31,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45788189673399,2.2405492482826,"Noun",9.42,NA,NA
"17","dread","3","Abstract",3,30637,929.76,272.99,25,-0.3351,0.5345,25,0.8387,31,1.86,25,1.32,0.852447457,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11058971029925,2.02118929906994,"Noun",9.44,NA,NA
"18","fixation","2","Abstract",4,20952,1038.22,339.48,27,0.1957,0.9201,27,0.871,31,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55630250076729,1.49136169383427,"Noun",11.33,NA,NA
"19","gumption","7","Abstract",2,70439,1232.46,436.52,24,0.8032,1.0995,24,0.8065,31,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.36172783601759,"Noun",12.27,NA,NA
"20","heyday","5","Abstract",2,50484,1209.95,557.03,20,0.4204,0.9895,20,0.6563,32,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,0.954242509439325,"Noun",10.59,NA,NA
"21","humility","9","Abstract",4,90913,912.11,289.88,28,-0.1783,0.9454,28,0.9667,30,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0899051114394,1.99122607569249,"Noun",10.21,NA,NA
"22","immunity","5","Abstract",1,50193,1158.11,469.85,28,0.3764,1.0669,28,0.875,32,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33645973384853,2.12385164096709,"Noun",12.26,NA,NA
"23","instinct","1","Abstract",3,10696,1000.66,301.4,29,-0.032,0.7592,29,0.9355,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59217675739587,2.50650503240487,"Noun",10.65,NA,NA
"24","intuition","10","Abstract",2,100386,840.32,219.18,22,-0.4814,0.5938,22,0.7188,32,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24551266781415,2.13353890837022,"Noun",10.58,NA,NA
"25","judgment","8","Abstract",3,80726,968.1,353.89,29,-0.0974,0.8258,29,0.9355,31,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92427928606188,2.81756536955978,"Noun",8.939252,NA,NA
"26","kudos","10","Abstract",2,100427,1159.32,392.45,19,0.5286,0.6677,19,0.5938,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65321251377534,1.61278385671974,"Noun",13.26,NA,NA
"27","liability","8","Abstract",1,80200,1092.64,352.32,28,0.0811,0.7335,28,0.9032,31,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20139712432045,2.13987908640124,"Noun",12.9,NA,NA
"28","lunacy","7","Abstract",1,70208,1060.21,218.03,29,0.1377,0.783,29,0.9032,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7160033436348,1.64345267648619,"Noun",10.58,NA,NA
"29","midweek","5","Abstract",1,50181,1320.11,416.03,9,1.3255,1.4568,9,0.3125,32,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",9.55,NA,NA
"30","morale","10","Abstract",1,100223,991,317.26,28,-0.1609,0.8672,28,0.875,32,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32428245529769,2.16435285578444,"Noun",10.62,NA,NA
"31","naivete","3","Abstract",2,30426,1253.5,470.74,26,0.6703,1.0324,26,0.871,31,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",13.13,NA,NA
