"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","abstention","5","Abstract",1,50192,1089.79,267.86,29,0.4263,0.972,29,0.9375,32,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.778151250383644,"Noun",15.19,NA,NA
"2","agony","1","Abstract",2,10401,931.87,291.93,31,-0.1885,0.8492,31,1,31,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28330122870355,2.23552844690755,"Noun",9.22,NA,NA
"3","angst","6","Abstract",1,60127,966.43,288.2,21,-0.272,0.5875,21,0.7097,31,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68124123737559,1.65321251377534,"Noun",13.12,NA,NA
"4","assessment","10","Abstract",1,100182,1135.04,495.99,23,0.2575,1.2961,23,0.6875,32,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20139712432045,2.12385164096709,"Noun",11.95,NA,NA
"5","assurance","8","Abstract",2,80471,1054.62,423.75,29,0.2314,1.2024,29,0.9677,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02118929906994,1.94448267215017,"Noun",12.33,NA,NA
"6","breadth","8","Abstract",2,80424,1168.95,476.76,22,0.4047,1.0912,22,0.7097,31,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.34242268082221,"Noun",11.38,NA,NA
"7","completion","5","Abstract",2,50410,1205.21,330.54,28,0.7371,1.0382,28,0.9375,32,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90308998699194,1.85733249643127,"Noun",8.56,NA,NA
"8","contempt","1","Abstract",2,10409,917.38,289.41,29,-0.3305,0.5811,29,0.9677,31,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40993312333129,2.28103336724773,"Noun",12.44,NA,NA
"9","cynicism","8","Abstract",4,80978,1075.59,420.21,29,0.2787,1.0989,29,0.9677,31,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.5910646070265,"Noun",13.25,NA,NA
"10","defect","3","Abstract",4,30906,889.17,333.63,23,-0.1824,1.1009,23,0.7419,31,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10380372095596,1.94939000664491,"Noun",10.26,NA,NA
"11","depiction","3","Abstract",3,30655,1313.96,540.08,25,0.9256,1.0959,25,0.8065,31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.20411998265592,"Noun",11.44,NA,NA
"12","desire","3","Abstract",4,30902,831.35,236.47,31,-0.3944,0.6936,31,1,31,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01494034979294,2.86569605991607,"Noun",9.95,NA,NA
"13","distemper","8","Abstract",2,80429,1117.11,337.43,28,0.394,0.9171,28,0.9032,31,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",13.83,NA,NA
"14","divinity","3","Abstract",4,30938,961.38,365.95,29,0.0445,0.9858,29,0.9355,31,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64345267648619,1.46239799789896,"Noun",10.41,NA,NA
"15","duty","3","Abstract",1,30187,1231.75,378.79,20,0.3406,1.1248,20,0.6129,31,2.19,23,1.782608696,1.04257207,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41497334797082,3.18525876529658,"Noun",7.15,NA,NA
"16","excellency","1","Abstract",2,10393,913.45,388.83,31,-0.2803,0.9284,31,1,31,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70757017609794,2.03342375548695,"Noun",NA,NA,NA
"17","extermination","10","Abstract",2,100499,1270,611.5,18,0.4353,1.285,18,0.5625,32,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72427586960079,1.5910646070265,"Noun",10.11,NA,NA
"18","futility","6","Abstract",1,60238,1231.93,458.92,27,0.4071,0.9551,27,0.871,31,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41497334797082,1.39794000867204,"Noun",13.55,NA,NA
"19","hysterics","2","Abstract",1,20169,1241.26,409.14,23,0.5966,1.0432,23,0.7419,31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53147891704226,1.53147891704226,"Noun",10.67,NA,NA
"20","idiocy","1","Abstract",1,10212,977.39,247.42,28,7e-04,0.9116,28,0.9032,31,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.43136376415899,"Noun",11,NA,NA
"21","ignoramus","9","Abstract",4,90952,1158.9,381.1,29,0.7401,1.1672,29,0.9667,30,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.25527250510331,"Noun",11.75,NA,NA
"22","intention","5","Abstract",4,50899,943.4,372.61,30,-0.1771,1.061,30,0.9688,32,1.7,23,2.130434783,1.659801407,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7481880270062,2.65991620006985,"Noun",9.42,NA,NA
"23","interlude","1","Abstract",4,10979,968.72,299.72,29,0.0415,0.8248,29,0.9355,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.30102999566398,"Noun",11.56,NA,NA
"24","intonation","3","Abstract",4,30941,1245.86,509.23,29,0.8644,1.2531,29,0.9677,31,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515823,0.903089986991944,"Noun",12.24,NA,NA
"25","jinx","1","Abstract",3,10705,1145.68,341.88,22,0.4719,0.948,22,0.7097,31,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31175386105575,2.02530586526477,"Noun",7.89,NA,NA
"26","legacy","1","Abstract",1,10171,1121.71,481.01,28,0.2909,1.2252,28,0.871,31,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40993312333129,2.28780172993023,"Noun",9.63,NA,NA
"27","liberty","1","Abstract",4,10952,985.38,359.39,29,0.0461,0.936,29,0.9355,31,1.85,24,1.666666667,1.403928236,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92941892571429,2.73239375982297,"Noun",8.83,NA,NA
