"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","amazement","4","Abstract",1,40191,973.57,332.01,30,-0.2256,0.7312,30,0.9375,32,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,1.54406804435028,"Noun",9.22,NA,NA
"2","apocalypse","5","Abstract",3,50630,1203.9,536.95,10,0.3527,0.995,10,0.3125,32,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10380372095596,1.96378782734556,"Noun",12.78,NA,NA
"3","atheism","8","Abstract",2,80426,1155.38,381.51,26,0.356,0.9814,26,0.8387,31,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",12.69,NA,NA
"4","attention","All","Abstract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70182693039714,3.47726599542485,"Noun",6.78,NA,NA
"5","benefit","9","Abstract",3,90639,1081.44,364.28,27,0.2358,0.8693,27,0.9,30,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86510397464113,2.74896286125616,"Noun",9.17,NA,NA
"6","breakup","2","Abstract",1,20247,1210.65,402.42,23,0.5114,1.0023,23,0.7097,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17609125905568,2.05690485133647,"Noun",9.2,NA,NA
"7","callousness","5","Abstract",2,50440,1114.43,301.51,30,0.4391,0.9732,30,0.9375,32,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,0.903089986991944,"Noun",11.19,NA,NA
"8","causation","5","Abstract",3,50661,1185.28,413.76,32,0.4948,1.193,32,1,32,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.954242509439325,"Noun",13.89,NA,NA
"9","comeback","10","Abstract",2,100379,1159.62,478.78,26,0.4226,0.8929,26,0.8125,32,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23299611039215,2.13987908640124,"Noun",9.8,NA,NA
"10","concordance","1","Abstract",4,10883,1149.9,426.7,30,0.5069,0.958,30,0.9677,31,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",14.54,NA,NA
"11","damnation","2","Abstract",2,20478,1106.61,423.66,28,0.2268,0.7512,28,0.9032,31,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83250891270624,1.76342799356294,"Noun",8.94,NA,NA
"12","depravity","10","Abstract",2,100476,992.5,418.56,30,0.0178,1.1581,30,0.9688,32,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54406804435028,1.50514997831991,"Noun",13.37,NA,NA
"13","doings","2","Abstract",3,20632,1044.71,349.09,28,0.2831,0.7825,28,0.9032,31,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.38021124171161,"Noun",5.89135,NA,NA
"14","domineer","10","Abstract",1,100225,1349.53,516.89,19,1.0616,1.03,19,0.5938,32,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",10.31,NA,NA
"15","ego","5","Abstract",4,50993,916.96,237.38,27,-0.0848,0.9831,27,0.8438,32,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58319877396862,2.49276038902684,"Noun",10.89,NA,NA
"16","euphemism","9","Abstract",2,90459,1033.21,356.46,28,0.157,1.0349,28,0.9333,30,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.61278385671974,"Noun",14.38,NA,NA
