"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","distance","weights","subclass","level"
"560","orgy","1","Concrete",3,10508,1104.58,437.33,24,0.1365,1.0241,24,0.7742,31,3.67,23,4.782608696,1.953005184,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94448267215017,1.89209460269048,"Noun",13.95,0.31958429511157,1,"93","high"
"561","ottoman","2","Concrete",3,20614,932.55,359.03,29,-0.2788,0.7019,29,0.9355,31,4.9,24,5.833333333,1.274044115,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.20411998265592,"Noun",10.94,0.0945888788373213,1,"96","high"
"562","painkiller","3","Concrete",2,30360,866.59,273.07,29,-0.5236,0.6025,29,0.9355,31,4.18,27,5.518518519,1.602170892,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44715803134222,1.43136376415899,"Noun",11.59,0.125792195979978,1,"98","high"
"563","passport","1","Concrete",3,10571,758.94,194.3,31,-0.6184,1.001,31,1,31,5,24,5,1.956038588,NA,NA,NA,41,5.97,1.59,41,4.46,1.94,2.72835378202123,2.45636603312904,"Noun",12.16,0.149891329957651,1,"103","high"
"564","pedometer","6","Concrete",1,60066,969.97,310.66,29,-0.3002,0.6662,29,0.9355,31,4.93,22,5.681818182,1.672931947,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",14.06,0.358442186640798,1,"107","high"
"565","penknife","9","Concrete",2,90260,1009.37,387.58,30,0.1363,1.0529,30,1,30,4.83,24,5.833333333,1.372609912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,0.903089986991944,"Noun",11.61,0.130863971837707,1,"108","high"
"566","pennant","9","Concrete",2,90298,1036.5,317.57,22,0.1427,0.9396,22,0.7,30,4.37,26,5.153846154,1.848075923,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5910646070265,1.39794000867204,"Noun",11.47,0.118067351065127,1,"109","high"
"567","peppercorn","4","Concrete",1,40009,907.19,315.2,32,-0.3989,0.7799,32,1,32,4.89,22,5.181818182,1.435481125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.602059991327962,"Noun",11.42,0.120927809256569,1,"111","high"
"568","physiologist","6","Concrete",3,60583,1156.56,387.09,27,0.4002,0.9363,27,0.871,31,4.25,24,4.75,2.090350501,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.602059991327962,"Noun",15.32,0.508608670803327,1,"115","high"
"569","plantain","7","Concrete",4,70831,1260.6,418.13,25,1.0056,1.3868,25,0.7742,31,4.42,22,5.409090909,1.652100853,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.8,0.225726613128842,1,"120","high"
"570","podiatrist","6","Concrete",4,60769,1175,503.95,27,0.5309,1.1011,27,0.8065,31,4.63,24,4.791666667,1.64129235,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515823,1.04139268515823,"Noun",15.5,0.527138149899325,1,"123","high"
"571","postmaster","5","Concrete",3,50550,1067.61,462.12,31,0.0511,0.9482,31,0.9688,32,4.59,25,5.2,1.471960144,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.11394335230684,"Noun",11.32,0.112601428134017,1,"128","high"
"572","protester","4","Concrete",2,40254,916.37,247.3,30,-0.1016,1.017,30,0.9375,32,3.96,25,4.8,1.732050808,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515823,0.954242509439325,"Noun",11.06,0.101244944492779,1,"130","high"
"573","quiche","8","Concrete",4,80856,910.74,264.02,23,-0.2175,0.7288,23,0.7419,31,4.53,22,5.727272727,1.31590339,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64345267648619,1.41497334797082,"Noun",13.13,0.239100727431994,1,"138","high"
"574","radiologist","4","Concrete",1,40065,969.68,245.16,31,-0.1932,0.7035,31,0.9688,32,4.52,23,4.913043478,1.781547935,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.17609125905568,"Noun",12.83,0.215909257939148,1,"139","high"
"575","roadster","2","Concrete",3,20581,1033.93,453.48,30,0.0953,1.0525,30,1,31,4.35,25,4.96,1.567375726,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.20411998265592,"Noun",12.07,0.157237938489698,1,"145","high"
"576","rupee","10","Concrete",1,100021,1032.92,283.9,26,-0.0955,0.7627,26,0.8125,32,4.68,23,4.826086957,2.014767614,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.301029995663981,"Noun",11.6,0.134167182335035,1,"148","high"
"577","sangria","8","Concrete",1,80047,1085.29,431.51,28,0.1267,1.066,28,0.871,31,4.45,22,4.863636364,1.958995237,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,0.903089986991944,"Noun",15.11,0.478392400399219,1,"151","high"
"578","scanner","9","Concrete",2,90286,832.48,230.89,29,-0.4887,0.6253,29,0.9667,30,4.79,27,5.444444444,1.671787006,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17897694729317,2.04139268515822,"Noun",11.37,0.108683951346095,1,"153","high"
"579","scythe","4","Concrete",1,40120,944.83,241.82,18,-0.1474,0.719,18,0.5625,32,4.29,22,4.727272727,2.164251068,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.14612803567824,"Noun",11.87,0.144458603395503,1,"159","high"
"580","sirloin","5","Concrete",3,50621,869.55,187.96,29,-0.4304,0.6878,29,0.9063,32,4.66,25,5.32,1.77294482,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50514997831991,1.41497334797082,"Noun",11.33,0.111349444707004,1,"165","high"
"581","skullcap","3","Concrete",2,30271,980.97,419.05,30,-0.1804,0.9401,30,1,31,4.54,27,4.962962963,1.89089888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",14.06,0.35068480619612,1,"166","high"
"582","sod","9","Concrete",4,90875,918.14,280.29,21,-0.1427,0.8401,21,0.7,30,4.62,23,5.086956522,1.856512945,29,3.48,2.28,NA,NA,NA,NA,NA,NA,1.97772360528885,1.86923171973098,"Noun",10.82,0.0851854316515814,1,"167","high"
"583","springboard","1","Concrete",2,10294,848.23,357.48,30,-0.5997,0.6712,30,0.9677,31,4.24,23,5,1.954016842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",11.25,0.112940313139277,1,"174","high"
"584","stockbroker","6","Concrete",4,60819,908.58,258.17,31,-0.28,0.6045,31,1,31,4.32,27,4.851851852,1.747607237,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74036268949424,1.6232492903979,"Noun",11.05,0.0963642883516538,1,"180","high"
"585","tailcoat","2","Concrete",2,20279,810.55,292.5,29,-0.5624,0.8148,29,0.9355,31,4.67,23,5.47826087,1.675208677,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.33,0.186148145562406,1,"187","high"
"586","teakwood","10","Concrete",1,100057,1069.97,432.99,30,0.0883,1.0208,30,0.9375,32,4.62,22,5.136363636,1.859222944,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",13,0.244280805937211,1,"192","high"
"587","testicle","3","Concrete",1,30064,889.65,263.28,31,-0.596,0.4322,31,1,31,4.59,25,6.24,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77085201164214,1.66275783168157,"Noun",11.6,0.123843922600863,1,"194","high"
"588","theatergoer","5","Concrete",4,50785,1106.18,338.86,28,0.4865,1.193,28,0.875,32,3.92,23,5,1.906925178,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",12.65,0.210394669732083,1,"195","high"
"589","therapist","7","Concrete",2,70282,740.86,163.25,29,-0.7189,0.4891,29,0.9355,31,4.52,27,5.148148148,1.406132276,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68663626926229,2.48855071650044,"Noun",10.89,0.0840830540848179,1,"196","high"
"590","tinderbox","8","Concrete",4,80784,823.58,276.6,31,-0.4913,0.6743,31,1,31,4.79,24,4.958333333,1.680558051,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",12.2,0.174385689482553,1,"199","high"
"591","tofu","5","Concrete",1,50018,826.52,293.88,31,-0.5682,0.746,31,0.9688,32,4.86,27,5.555555556,1.717183144,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13987908640124,1.79934054945358,"Noun",11.89,0.137877734713502,1,"200","high"
"592","tourniquet","1","Concrete",4,10837,1022.78,343.07,23,0.2392,0.8408,23,0.7742,31,4.5,23,4.956521739,1.845837107,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70757017609794,1.63346845557959,"Noun",12.72,0.202001454083202,1,"203","high"
"593","tradesman","6","Concrete",4,60791,833.93,274.47,29,-0.5178,0.603,29,0.9355,31,4.07,25,4.84,1.748332539,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.698970004336019,"Noun",11.44,0.122029692796054,1,"204","high"
"594","treadmill","10","Concrete",1,100079,780.97,174.34,32,-0.798,0.4441,32,1,32,4.93,23,6,1.53741223,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63346845557959,1.56820172406699,"Noun",11.15,0.101645679700285,1,"206","high"
"595","undercoat","7","Concrete",1,70082,984.35,338.95,31,-0.1905,0.9227,31,1,31,4.5,22,4.772727273,1.925562829,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.84,0.229356089753687,1,"210","high"
"596","vermicelli","4","Concrete",3,40551,1091.96,303.87,25,0.5372,0.9694,25,0.7813,32,4.52,21,5.571428571,1.963961012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.698970004336019,"Noun",14.77,0.437947411222245,1,"213","high"
"597","vibrator","9","Concrete",1,90044,980.45,390.87,29,-0.3125,0.961,29,0.9667,30,4.64,28,6.464285714,0.692934867,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78532983501077,1.46239799789896,"Noun",13.39,0.262411442421105,1,"214","high"
"598","vulva","1","Concrete",4,10768,974.52,340.65,27,-0.0127,0.8375,27,0.8387,31,4.5,25,5.16,1.724335621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.698970004336019,"Noun",13.11,0.24764361113285,1,"216","high"
"599","weaponry","4","Concrete",1,40040,992.62,288.34,29,-0.0951,0.8006,29,0.9063,32,3.56,25,5,1.554563176,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74036268949424,1.70757017609794,"Noun",11.3,0.108203002285643,1,"219","high"
"600","wristlet","5","Concrete",4,50756,1004.94,360.72,31,0.1072,1.1439,31,0.9688,32,4.38,21,5.428571429,1.434274331,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",12.88,0.233026361331121,1,"225","high"
