"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","abruptness","6","Abstract",3,60746,962.27,298.22,30,-0.1561,0.7269,30,0.9677,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.698970004336019,"Noun",12.39,NA,NA
"2","acceptance","1","Abstract",4,10946,972.42,304.09,31,0.0226,0.924,31,1,31,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20951501454263,2.14921911265538,"Noun",8.56,NA,NA
"3","affront","2","Abstract",2,20496,1039.04,426.43,28,0.0975,0.7195,28,0.9032,31,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.44715803134222,"Noun",12.44,NA,NA
"4","anonymity","8","Abstract",1,80148,953.38,279.34,29,-0.2677,0.6985,29,0.9355,31,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.63346845557959,"Noun",13.44,NA,NA
"5","cause","9","Abstract",2,90385,920.57,268.29,28,-0.169,0.7738,28,0.9667,30,2.43,23,1.608695652,1.196173081,30,1.4,0.77,NA,NA,NA,NA,NA,NA,4.19901427093462,3.69434191036418,"Noun",5.84,NA,NA
"6","caving","8","Abstract",3,80711,1464.13,354.6,15,1.446,1.3255,15,0.4194,31,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50514997831991,1.32221929473392,"Noun",10.11,NA,NA
"7","chance","6","Abstract",4,60904,1041.88,505.84,26,-0.051,1.0691,26,0.8387,31,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09004632245736,3.72786644946749,"Noun",7.78,NA,NA
"8","concept","9","Abstract",4,90884,959.26,254.71,27,0.0882,0.979,27,0.9333,30,1.41,25,1.8,1.755942292,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74350976472843,2.64542226934909,"Noun",11.44,NA,NA
"9","consent","1","Abstract",1,10150,1172.55,484.46,29,0.4072,1.1615,29,0.9355,31,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57978359661681,2.44870631990508,"Noun",9.95,NA,NA
"10","convenience","2","Abstract",3,20639,1031.43,414.58,30,0.1191,0.9861,30,0.9677,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39093510710338,2.30102999566398,"Noun",10.17,NA,NA
"11","decadence","10","Abstract",2,100440,1293.81,608.75,26,0.7739,1.1295,26,0.8438,32,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.39794000867204,"Noun",12.17,NA,NA
"12","default","6","Abstract",3,60731,970.93,431.17,29,-0.1405,1.0594,29,0.9355,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7160033436348,1.68124123737559,"Noun",10.85,NA,NA
"13","dilemma","7","Abstract",3,70716,1013.22,341.65,27,0.1164,1.0907,27,0.871,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12710479836481,2.06069784035361,"Noun",10.72,NA,NA
