"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","affection","7","Abstract",1,70185,1098.19,420.02,27,0.0752,1.0261,27,0.871,31,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63548374681491,2.52504480703685,"Noun",8.53,NA,NA
"2","allure","2","Abstract",4,20963,853.52,241.63,31,-0.3371,0.7287,31,1,31,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49136169383427,1.44715803134222,"Noun",11.83,NA,NA
"3","avoidance","6","Abstract",4,60930,928.45,350.83,31,-0.2493,0.8615,31,1,31,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.39794000867204,"Noun",11.68,NA,NA
"4","betrayal","4","Abstract",4,40997,888.77,325.43,30,-0.1934,0.8639,30,0.9677,31,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33645973384853,2.28330122870355,"Noun",9.78,NA,NA
"5","camaraderie","7","Abstract",4,70977,1283.73,361.34,15,1.0046,0.9716,15,0.5161,31,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44715803134222,1.41497334797082,"Noun",12.22,NA,NA
"6","casualness","3","Abstract",2,30471,1167.35,463.88,31,0.3465,0.8742,31,1,31,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",11.05,NA,NA
"7","compliance","4","Abstract",1,40175,1061.43,287.08,28,0.1458,0.9613,28,0.875,32,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70757017609794,1.55630250076729,"Noun",13.48,NA,NA
"8","craziness","7","Abstract",4,70979,907.29,206.77,31,-0.1008,0.7377,31,1,31,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81291335664286,1.76342799356294,"Noun",8.83,NA,NA
"9","creation","10","Abstract",3,100704,936.52,283.13,27,-0.1996,0.8994,27,0.8438,32,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49276038902684,2.39445168082622,"Noun",7.79,NA,NA
"10","credence","1","Abstract",1,10130,1276.23,546.83,26,0.6845,1.3082,26,0.871,31,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.34242268082221,"Noun",13.06,NA,NA
"11","curiosity","8","Abstract",1,80221,973.14,309.87,28,-0.1343,0.9773,28,0.9032,31,1.61,22,2.363636364,1.733300033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63948648926859,2.55750720190566,"Noun",8.33,NA,NA
"12","disinterest","3","Abstract",2,30423,1208.11,461.22,27,0.5227,0.9133,27,0.9355,31,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",9,NA,NA
"13","dynasty","8","Abstract",3,80629,1147.6,354.26,20,0.6231,0.9677,20,0.6774,31,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11727129565576,1.92427928606188,"Noun",10.5,NA,NA
